Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-34699748,01-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,32.28,53.39,12.47 kWh,11.29 kWh,-9.46,16.43,1
IN-KL-ELC-37303827,08-01-2023,IN_KL_ALP,Villa,3,2059,20,6.51,34.1,78.22,19.51 kWh,19.62 kWh,0.56,16.26,0
IN-KL-ELC-69957771,26-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,22.51,54.68,12.7 kWh,11.41 kWh,-10.16,16.61,1
IN-KL-ELC-39477221,28-01-2023,IN_KL_ERN,Apartment,4,503,21,7.72,32.39,67.52,21.48 kWh,19.72 kWh,-8.19,16.61,0
IN-KL-ELC-22833202,27-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,33.01,68.63,13.25 kWh,14.1 kWh,6.42,17.83,0
IN-KL-ELC-54818514,03-01-2023,IN_KL_TVM,Apartment,4,2273,8,4.16,33.49,67.1,14.23 kWh,14.45 kWh,1.55,17.26,0
IN-KL-ELC-66694772,23-01-2023,IN_KL_TVM,Independent House,1,1962,14,6.9,26.35,81.25,13.59 kWh,18.062744997410054 kWh,32.91,16.89,1
IN-KL-ELC-11739503,18-01-2023,IN_KL_ERN,Apartment,2,866,21,6.44,30.86,70.58,17.81 kWh,32.03966601848581 kWh,79.9,16.61,1
IN-KL-ELC-82355294,09-01-2023,IN_KL_ERN,Apartment,3,1782,14,7.59,29.89,78.91,17.06 kWh,27.267673441656477 kWh,59.83,16.61,1
IN-KL-ELC-93423120,27-01-2023,IN_KL_ERN,Villa,6,1116,16,5.71,28.43,55,19.22 kWh,16.85 kWh,-12.33,16.28,0
IN-KL-ELC-72588770,11-01-2023,IN_KL_ALP,Independent House,6,460,7,5.2,30.44,74.98,16.26 kWh,22.184786674475237 kWh,36.44,17.83,1
IN-KL-ELC-54025412,10-01-2023,IN_KL_TVM,Villa,4,2792,10,6.83,33.68,55.11,17.12 kWh,null,3.07,16.02,1
IN-KL-ELC-52124353,25-01-2023,IN_KL_ALP,Apartment,6,1775,7,3.98,23.1,76.7,13.66 kWh,14.36 kWh,5.12,16.47,0
IN-KL-ELC-56602744,06-01-2023,IN_KL_TVM,Independent House,5,814,13,6.8,28.54,84.25,17.95 kWh,17.46 kWh,-2.73,16.89,0
IN-KL-ELC-56776126,24-01-2023,IN_KL_ALP,Apartment,3,1435,18,4.74,41.51,70.13,19.18 kWh,18.66 kWh,-2.71,16.47,0
IN-KL-ELC-86809558,07-01-2023,IN_KL_TVM,Apartment,5,2278,17,6.08,32.4,52.06,19.9 kWh,null,-3.37,17.26,1
IN-KL-ELC-13710935,20-01-2023,IN_KL_ALP,Villa,1,2140,8,4.46,28.49,79.16,10.21 kWh,13.69263661336431 kWh,34.11,16.26,1
IN-KL-ELC-68639880,07-01-2023,IN_KL_TVM,Independent House,4,1871,17,6.97,33.88,64.56,19.87 kWh,19.32 kWh,-2.77,16.89,0
IN-KL-ELC-88230909,12-01-2023,IN_KL_ERN,Independent House,3,2035,15,5,30.99,58.57,15.73 kWh,null,5.72,16.43,1
IN-KL-ELC-77934995,08-01-2023,IN_KL_TVM,Apartment,3,2725,13,7.29,31.31,53.47,16.84 kWh,27.542975295072093 kWh,63.56,17.26,1
IN-KL-ELC-60935907,22-01-2023,IN_KL_TVM,Apartment,2,1823,20,3.54,24.29,55.63,13.77 kWh,12.26 kWh,-10.97,17.26,1
IN-KL-ELC-37445126,18-01-2023,IN_KL_ALP,Apartment,1,1744,19,6.7,22.88,56.29,null,16.23 kWh,13.74,16.47,0
IN-KL-ELC-60241510,21-01-2023,IN_KL_ERN,Apartment,4,1452,9,6.63,36.97,72.99,17.37 kWh,18.99 kWh,9.33,16.61,0
IN-KL-ELC-11995462,25-01-2023,IN_KL_ERN,Apartment,3,1094,12,5.16,30.38,71.4,14.65 kWh,14.53 kWh,-0.82,16.61,0
IN-KL-ELC-60241510,14-01-2023,IN_KL_ERN,Apartment,4,1452,9,6.63,29.8,53.99,15.68 kWh,15.16 kWh,-3.32,16.61,0
IN-KL-ELC-25353404,14-01-2023,IN_KL_TVM,Independent House,1,922,12,5.88,30.12,83.65,12.93 kWh,null,0.08,16.89,1
IN-KL-ELC-11744587,05-01-2023,IN_KL_ERN,Independent House,3,2004,6,6.42,32.01,83.22,13.82 kWh,15.64 kWh,13.17,16.43,0
IN-KL-ELC-74375533,16-01-2023,IN_KL_ERN,Apartment,3,2410,15,2.51,39.31,69.53,15.54 kWh,15.74 kWh,1.29,16.61,0
IN-KL-ELC-37445126,05-01-2023,IN_KL_ALP,Apartment,1,1744,19,6.7,25.17,56.79,14.82 kWh,17.894842895823217 kWh,20.75,16.47,1
IN-KL-ELC-79523894,17-01-2023,IN_KL_ERN,Apartment,6,1786,21,7.85,25.4,77.83,21.45 kWh,32.42024314608678 kWh,51.14,16.61,1
IN-KL-ELC-30481737,20-01-2023,IN_KL_ERN,Independent House,6,1967,7,7.3,25.73,82.31,16.59 kWh,15.07 kWh,-9.16,16.43,0
IN-KL-ELC-36789255,17-01-2023,IN_KL_ERN,Independent House,1,1818,15,3.9,29.38,83.93,null,11.22 kWh,-9.22,16.43,1
IN-KL-ELC-61981697,14-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,35.08,51.51,17.12 kWh,15.49 kWh,-9.52,16.43,0
IN-KL-ELC-87381788,29-01-2023,IN_KL_TVM,Apartment,1,2433,9,6.06,37.35,83.13,null,13.85 kWh,3.98,17.26,0
IN-KL-ELC-53791402,05-01-2023,IN_KL_TVM,Apartment,3,1634,10,6.35,27.44,54.93,14.19 kWh,14.53 kWh,2.4,17.26,0
IN-KL-ELC-55638606,05-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,33.28,79.4,16.17 kWh,24.67040873645218 kWh,52.57,16.28,1
IN-KL-ELC-23402388,26-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,28.34,57.27,19.43 kWh,18.88 kWh,-2.83,16.89,0
IN-KL-ELC-51118982,07-01-2023,IN_KL_ALP,Independent House,5,2365,21,5.35,20.42,71.55,17.18 kWh,16.34 kWh,-4.89,17.83,0
IN-KL-ELC-43990463,12-01-2023,IN_KL_ALP,Independent House,3,1361,21,7.24,27.23,78.08,18.48 kWh,19.18 kWh,3.79,17.83,0
IN-KL-ELC-12105733,02-01-2023,IN_KL_TVM,Apartment,5,916,15,7.73,30.96,72.05,20.03 kWh,19.78 kWh,-1.25,17.26,0
IN-KL-ELC-44469199,06-01-2023,IN_KL_TVM,Apartment,4,1802,21,7.54,28.7,84.11,20.2 kWh,33.04143041081587 kWh,63.57,17.26,1
IN-KL-ELC-94473474,19-01-2023,IN_KL_ERN,Villa,1,606,21,6.07,28.94,58.18,15.94 kWh,13.69 kWh,-14.12,16.28,0
IN-KL-ELC-24549986,04-01-2023,IN_KL_ERN,Independent House,3,1784,16,6,30.88,64.52,16.82 kWh,18.69 kWh,11.12,16.43,0
IN-KL-ELC-38754500,30-01-2023,IN_KL_ALP,Apartment,2,2100,11,7.15,28.78,83.6,14.35 kWh,16.41 kWh,14.36,16.47,0
IN-KL-ELC-72267329,12-01-2023,IN_KL_ERN,Villa,2,1438,13,4.71,34.47,61.37,14.39 kWh,14.65 kWh,1.81,16.28,0
IN-KL-ELC-28802060,07-01-2023,IN_KL_TVM,Independent House,1,1168,10,2.59,25.46,78.89,9.08 kWh,11.33 kWh,24.78,16.89,1
IN-KL-ELC-52124353,29-01-2023,IN_KL_ALP,Apartment,6,1775,7,3.98,31.55,50.22,15.59 kWh,24.928728587187255 kWh,59.9,16.47,1
IN-KL-ELC-97553105,06-01-2023,IN_KL_TVM,Independent House,6,2605,13,3.52,32.91,83.34,null,21.92627838431163 kWh,23.67,16.89,1
IN-KL-ELC-59571121,23-01-2023,IN_KL_ALP,Independent House,4,2160,19,7.58,28.22,52.68,19.4 kWh,33.787199847933216 kWh,74.16,17.83,1
IN-KL-ELC-16397499,06-01-2023,IN_KL_ERN,Apartment,2,2166,13,3.8,31.95,78.24,13.17 kWh,14.34 kWh,8.88,16.61,0
IN-KL-ELC-31013601,24-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,26.72,83.47,18.04 kWh,17.71 kWh,-1.83,16.02,0
IN-KL-ELC-79975445,04-01-2023,IN_KL_ERN,Villa,5,2520,15,6.56,36.5,81.78,20.71 kWh,19.03 kWh,-8.11,16.28,0
IN-KL-ELC-41369910,27-01-2023,IN_KL_TVM,Apartment,3,1883,15,3.08,37.75,55.19,15.69 kWh,16.77 kWh,6.88,17.26,0
IN-KL-ELC-30440535,21-01-2023,IN_KL_ERN,Independent House,3,2037,10,5.51,30.9,50.9,14.32 kWh,14.95 kWh,4.4,16.43,0
IN-KL-ELC-25533692,11-01-2023,IN_KL_ALP,Apartment,3,2301,8,3.92,32.05,79.05,12.62 kWh,13.602484358985398 kWh,7.79,16.47,0
IN-KL-ELC-86829181,15-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,32.47,62.93,15.2 kWh,14.59 kWh,-4.01,17.26,0
IN-KL-ELC-47405775,30-01-2023,IN_KL_ERN,Apartment,2,1840,6,4.4,33.2,78.67,11.32 kWh,12.98 kWh,14.66,16.61,0
IN-KL-ELC-53437589,23-01-2023,IN_KL_ERN,Apartment,3,1834,9,6.8,24.6,81.16,13.55 kWh,null,66.2,16.61,1
IN-KL-ELC-30653258,27-01-2023,IN_KL_ERN,Independent House,5,1550,6,2.99,27.7,65.08,12.59 kWh,12.11 kWh,-3.81,16.43,0
IN-KL-ELC-70933352,30-01-2023,IN_KL_ALP,Independent House,3,765,11,5.43,35.05,46.59,15.51 kWh,24.56423541985029 kWh,58.38,17.83,1
IN-KL-ELC-72602002,09-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,30.78,70.7,11.85 kWh,19.387066208580173 kWh,63.6,16.26,1
IN-KL-ELC-30481737,29-01-2023,IN_KL_ERN,Independent House,6,1967,7,7.3,35.08,80.99,19.07 kWh,null,-2.31,16.43,1
IN-KL-ELC-11063908,13-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,31.28,81.6,16.34 kWh,16.75 kWh,2.51,16.47,0
IN-KL-ELC-78608630,18-01-2023,IN_KL_ALP,Apartment,3,1555,12,3.26,33.96,55.74,13.93 kWh,14.5 kWh,4.09,16.47,0
IN-KL-ELC-64375065,18-01-2023,IN_KL_ERN,Apartment,3,828,6,6.29,31.46,52.07,13.61 kWh,13.3 kWh,-2.28,16.61,0
IN-KL-ELC-47499604,06-01-2023,IN_KL_TVM,Independent House,6,2758,8,6.17,33.32,53.35,18.09 kWh,27.922307109701013 kWh,54.35,16.89,1
IN-KL-ELC-87073868,03-01-2023,IN_KL_TVM,Apartment,6,2717,6,7.52,29.25,73.03,17.34 kWh,18.19 kWh,4.9,17.26,0
IN-KL-ELC-30481737,06-01-2023,IN_KL_ERN,Independent House,6,1967,7,7.3,29.7,59.88,17.65 kWh,18.35 kWh,3.97,16.43,0
IN-KL-ELC-67499236,20-01-2023,IN_KL_ERN,Apartment,2,2184,10,6.07,30.81,66.06,13.62 kWh,null,2.72,16.61,1
IN-KL-ELC-66313716,21-01-2023,IN_KL_TVM,Independent House,5,2729,16,7.47,36.22,73.11,21.76 kWh,null,4.27,16.89,1
IN-KL-ELC-38900154,29-01-2023,IN_KL_ALP,Independent House,5,1678,20,3.89,30.87,81.07,null,18.03 kWh,-4.4,17.83,0
IN-KL-ELC-90949802,28-01-2023,IN_KL_ERN,Apartment,5,849,18,3.87,34.32,59.53,19.06 kWh,18.21 kWh,-4.46,16.61,0
IN-KL-ELC-51961729,18-01-2023,IN_KL_ALP,Apartment,4,450,16,5.7,21.66,62.77,15.29 kWh,16.64 kWh,8.83,16.47,0
IN-KL-ELC-49701826,14-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,33.96,83.64,15.84 kWh,15.52 kWh,-2.02,17.83,0
IN-KL-ELC-97400511,19-01-2023,IN_KL_TVM,Independent House,2,2458,6,7.21,31.74,82.56,13.24 kWh,13.29 kWh,0.38,16.89,0
IN-KL-ELC-86829181,03-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,26.55,74.92,13.9 kWh,20.798009402585077 kWh,49.63,17.26,1
IN-KL-ELC-45560016,13-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,32.25,48.66,16.74 kWh,15.68 kWh,-6.33,16.61,0
IN-KL-ELC-69429201,05-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,27.35,48.62,13.52 kWh,17.906875511851858 kWh,32.45,16.28,1
IN-KL-ELC-86829181,01-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,35.36,52.03,15.84 kWh,27.70633213257612 kWh,74.91,17.26,1
IN-KL-ELC-38968944,21-01-2023,IN_KL_ERN,Apartment,6,2655,20,2.52,34.93,70.51,20.07 kWh,20.4 kWh,1.64,16.61,0
IN-KL-ELC-48444075,13-01-2023,IN_KL_TVM,Independent House,5,1207,13,6.7,25.7,48.42,17.09 kWh,17.53 kWh,2.57,16.89,0
IN-KL-ELC-67819755,15-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,29.95,69.68,16.55 kWh,16.57 kWh,0.12,16.28,0
IN-KL-ELC-13476673,26-01-2023,IN_KL_TVM,Independent House,4,753,17,6.92,32.33,52.8,19.39 kWh,31.000483733204117 kWh,59.88,16.89,1
IN-KL-ELC-97994143,05-01-2023,IN_KL_ERN,Apartment,1,1263,9,3.24,30.24,52.4,9.92 kWh,9.37 kWh,-5.54,16.61,1
IN-KL-ELC-77021273,14-01-2023,IN_KL_TVM,Independent House,2,2377,14,7.63,31.48,55.77,16.38 kWh,32.717617943685774 kWh,99.74,16.89,1
IN-KL-ELC-42948810,01-01-2023,IN_KL_ERN,Independent House,1,1254,16,5.82,32.87,59.43,14.88 kWh,20.89535741791335 kWh,40.43,16.43,1
IN-KL-ELC-13024599,07-01-2023,IN_KL_TVM,Independent House,6,2725,6,6.08,34.8,74.66,17.65 kWh,30.797488331959887 kWh,74.49,16.89,1
IN-KL-ELC-72643816,16-01-2023,IN_KL_ERN,Apartment,4,2744,18,6.65,36.58,60.47,20.75 kWh,32.77055328628649 kWh,57.93,16.61,1
IN-KL-ELC-18798620,01-01-2023,IN_KL_ERN,Apartment,2,2704,7,5.32,31.05,66.84,12.03 kWh,null,16.21,16.61,1
IN-KL-ELC-23402388,28-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,23.17,70.98,17.89 kWh,18.62 kWh,4.08,16.89,0
IN-KL-ELC-29132357,18-01-2023,IN_KL_TVM,Independent House,6,2362,15,3.45,25.3,78.02,16.39 kWh,15.39 kWh,-6.1,16.89,0
IN-KL-ELC-78261392,18-01-2023,IN_KL_ALP,Apartment,1,1024,7,6.47,30.9,47.29,11.76 kWh,12.33 kWh,4.85,16.47,0
IN-KL-ELC-61443706,17-01-2023,IN_KL_TVM,Independent House,5,2500,9,4.71,29.23,48.49,15.2 kWh,16.71 kWh,9.93,16.89,0
IN-KL-ELC-43990463,19-01-2023,IN_KL_ALP,Independent House,3,1361,21,7.24,33.7,59.15,20.35 kWh,21.05 kWh,3.44,17.83,0
IN-KL-ELC-85879717,21-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,31.66,52.37,13.69 kWh,12.43 kWh,-9.2,16.47,0
IN-KL-ELC-11022661,27-01-2023,IN_KL_ERN,Independent House,6,1828,13,5.67,28.44,83.03,18.17 kWh,null,-6.66,16.43,1
IN-KL-ELC-63187488,04-01-2023,IN_KL_ERN,Villa,2,1907,20,5.23,20.63,53.82,null,16.35 kWh,16.54,16.28,0
IN-KL-ELC-62444510,24-01-2023,IN_KL_TVM,Apartment,5,2590,13,4.06,29.88,63.81,16.27 kWh,24.314026434408937 kWh,49.44,17.26,1
IN-KL-ELC-30653258,25-01-2023,IN_KL_ERN,Independent House,5,1550,6,2.99,30.89,64.99,13.22 kWh,21.05329533328799 kWh,59.25,16.43,1
IN-KL-ELC-26636457,05-01-2023,IN_KL_ALP,Independent House,6,1031,21,3.02,30.96,65.26,19.69 kWh,29.38365529123253 kWh,49.23,17.83,1
IN-KL-ELC-20774414,28-01-2023,IN_KL_ALP,Independent House,6,1967,18,7.83,31.6,60.96,22.5 kWh,22.97 kWh,2.09,17.83,1
IN-KL-ELC-38289970,09-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,30.07,75.63,11.53 kWh,20.58851879954029 kWh,78.56,17.26,1
IN-KL-ELC-13710935,12-01-2023,IN_KL_ALP,Villa,1,2140,8,4.46,32.65,60.62,10.86 kWh,12.24 kWh,12.71,16.26,0
IN-KL-ELC-39477221,02-01-2023,IN_KL_ERN,Apartment,4,503,21,7.72,28.04,67.79,20.13 kWh,19.9 kWh,-1.14,16.61,0
IN-KL-ELC-72602002,16-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,28.49,47,11.44 kWh,10.84 kWh,-5.24,16.26,1
IN-KL-ELC-61826522,11-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,30.35,48.45,16.76 kWh,16.93 kWh,1.01,17.83,0
IN-KL-ELC-28357262,03-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,31.99,52.96,19.29 kWh,28.343871249833573 kWh,46.94,16.43,1
IN-KL-ELC-46370776,03-01-2023,IN_KL_ERN,Apartment,4,2294,9,5.65,27.6,77.91,14.45 kWh,15.67 kWh,8.44,16.61,0
IN-KL-ELC-13794510,26-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,26.57,56.52,18.21 kWh,16.92 kWh,-7.08,16.89,0
IN-KL-ELC-50932588,07-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,34.78,60.36,20.56 kWh,30.494979773851888 kWh,48.32,16.61,1
IN-KL-ELC-60935907,21-01-2023,IN_KL_TVM,Apartment,2,1823,20,3.54,31.46,80.2,15.38 kWh,15.61 kWh,1.5,17.26,0
IN-KL-ELC-11744587,18-01-2023,IN_KL_ERN,Independent House,3,2004,6,6.42,28.52,74.73,13.12 kWh,13.44 kWh,2.44,16.43,0
IN-KL-ELC-61700190,19-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,39.74,72.35,12.68 kWh,17.49224265173874 kWh,37.95,16.89,1
IN-KL-ELC-80163233,26-01-2023,IN_KL_ALP,Independent House,1,494,11,7.08,27.16,84.25,null,17.20901732857613 kWh,33.51,17.83,1
IN-KL-ELC-57752628,15-01-2023,IN_KL_TVM,Independent House,3,2777,7,5.09,29.84,52.6,null,11.77 kWh,-7.61,16.89,1
IN-KL-ELC-20774414,05-01-2023,IN_KL_ALP,Independent House,6,1967,18,7.83,38.17,49.81,24.67 kWh,26.08 kWh,5.72,17.83,1
IN-KL-ELC-97676491,11-01-2023,IN_KL_ALP,Apartment,3,634,12,3.21,14.57,83.28,10.07 kWh,10.59 kWh,5.16,16.47,1
IN-KL-ELC-15833790,11-01-2023,IN_KL_TVM,Independent House,4,2209,11,4.97,29.92,59.29,15.16 kWh,14.73 kWh,-2.84,16.89,0
IN-KL-ELC-51961729,15-01-2023,IN_KL_ALP,Apartment,4,450,16,5.7,32.41,50.95,18.11 kWh,17.4 kWh,-3.92,16.47,0
IN-KL-ELC-91572504,05-01-2023,IN_KL_ERN,Apartment,4,1085,15,5.79,30.58,57.37,17.34 kWh,16.42 kWh,-5.31,16.61,0
IN-KL-ELC-56776126,15-01-2023,IN_KL_ALP,Apartment,3,1435,18,4.74,28.69,56.69,16.03 kWh,15.8 kWh,-1.43,16.47,0
IN-KL-ELC-58140776,23-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,30.47,64.92,20.27 kWh,20.02 kWh,-1.23,16.28,0
IN-KL-ELC-39118096,23-01-2023,IN_KL_ERN,Apartment,3,1256,8,5.18,27.66,57.99,12.72 kWh,11.92 kWh,-6.29,16.61,0
IN-KL-ELC-57752628,30-01-2023,IN_KL_TVM,Independent House,3,2777,7,5.09,31.42,74.33,13.04 kWh,12.57 kWh,-3.6,16.89,0
IN-KL-ELC-76472409,08-01-2023,IN_KL_TVM,Villa,1,788,12,3.63,35.29,49.18,12.11 kWh,11.32 kWh,-6.52,16.02,0
IN-KL-ELC-68897751,21-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,30.19,77.24,17.93 kWh,18.7 kWh,4.29,17.26,0
IN-KL-ELC-65776530,10-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,30.85,79.27,10.62 kWh,14.699805891101898 kWh,38.42,16.43,1
IN-KL-ELC-86829181,30-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,31.81,59.52,null,16.38 kWh,8.76,17.26,0
IN-KL-ELC-77063678,26-01-2023,IN_KL_ERN,Independent House,5,1931,14,5.93,28.37,52.92,17.61 kWh,21.66 kWh,23,16.43,1
IN-KL-ELC-19678055,09-01-2023,IN_KL_ERN,Independent House,1,1955,20,5.8,29.81,48.4,15.6 kWh,15.77 kWh,1.09,16.43,0
IN-KL-ELC-29961688,21-01-2023,IN_KL_TVM,Apartment,3,810,21,5.07,26.65,77.57,16.77 kWh,15.77 kWh,-5.96,17.26,0
IN-KL-ELC-22212203,13-01-2023,IN_KL_ERN,Villa,5,2190,11,7.23,25.7,46.73,16.81 kWh,15.32 kWh,-8.86,16.28,0
IN-KL-ELC-96990855,04-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,27.8,77.19,18.1 kWh,24.915071517104757 kWh,37.65,16.26,1
IN-KL-ELC-98200480,25-01-2023,IN_KL_ALP,Apartment,3,690,11,4.47,31.01,56.69,13.91 kWh,12.96 kWh,-6.83,16.47,0
IN-KL-ELC-39176775,17-01-2023,IN_KL_ERN,Independent House,6,2654,12,2.98,24.75,60.81,14.96 kWh,15.33 kWh,2.47,16.43,0
IN-KL-ELC-71807372,29-01-2023,IN_KL_ALP,Apartment,6,1129,11,5.78,39.44,50.05,20.53 kWh,20.71 kWh,0.88,16.47,0
IN-KL-ELC-84064269,05-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,30.26,67.29,11.97 kWh,12.17 kWh,1.67,16.43,0
IN-KL-ELC-61700190,28-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,25.32,56.08,10.28 kWh,11.05 kWh,7.49,16.89,1
IN-KL-ELC-97733707,29-01-2023,IN_KL_ALP,Apartment,3,2652,20,5.31,32.51,77.18,18.14 kWh,17.07 kWh,-5.9,16.47,0
IN-KL-ELC-87103622,16-01-2023,IN_KL_ERN,Villa,5,2637,13,5.22,25.92,45.31,16.11 kWh,16.43 kWh,1.99,16.28,0
IN-KL-ELC-66703411,24-01-2023,IN_KL_ALP,Apartment,3,888,18,2.6,27.76,58.86,null,14.55 kWh,2.03,16.47,0
IN-KL-ELC-77037468,08-01-2023,IN_KL_ALP,Villa,1,1609,21,7.4,27.99,58.14,16.68 kWh,17.09 kWh,2.46,16.26,0
IN-KL-ELC-93630760,14-01-2023,IN_KL_ALP,Apartment,5,1176,12,4.08,30.44,64.99,16.07 kWh,18.12 kWh,12.76,16.47,0
IN-KL-ELC-23402388,09-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,39.52,62.63,22.78 kWh,32.110585555743036 kWh,40.96,16.89,1
IN-KL-ELC-80163233,15-01-2023,IN_KL_ALP,Independent House,1,494,11,7.08,30.94,70.1,13.65 kWh,13.55 kWh,-0.73,17.83,0
IN-KL-ELC-98421014,06-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,27.7,73.94,null,15.1 kWh,0.07,16.89,0
IN-KL-ELC-46908360,04-01-2023,IN_KL_TVM,Independent House,2,886,19,5.26,36.37,53.58,17.52 kWh,32.813623764445545 kWh,87.29,16.89,1
IN-KL-ELC-57223180,20-01-2023,IN_KL_TVM,Independent House,5,1213,16,4.88,23.55,54.14,16.22 kWh,15.46 kWh,-4.69,16.89,0
IN-KL-ELC-44100893,03-01-2023,IN_KL_ERN,Villa,2,889,6,2.98,29.64,76.46,9.68 kWh,9.46 kWh,-2.27,16.28,1
IN-KL-ELC-90825900,07-01-2023,IN_KL_ALP,Independent House,3,2379,14,4.54,33.19,55.17,15.51 kWh,null,3.22,17.83,1
IN-KL-ELC-61949394,30-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,27.96,69.24,14.11 kWh,22.905182841265923 kWh,62.33,16.43,1
IN-KL-ELC-64375065,11-01-2023,IN_KL_ERN,Apartment,3,828,6,6.29,30.57,45.96,13.43 kWh,14.84 kWh,10.5,16.61,0
IN-KL-ELC-61826522,02-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,27.26,45.07,15.99 kWh,16.59 kWh,3.75,17.83,0
IN-KL-ELC-55638606,28-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,31.14,61.86,15.67 kWh,null,-4.98,16.28,1
IN-KL-ELC-64818061,18-01-2023,IN_KL_ERN,Independent House,4,2382,14,6.73,26.99,45.86,16.76 kWh,17.21 kWh,2.68,16.43,0
IN-KL-ELC-13710935,27-01-2023,IN_KL_ALP,Villa,1,2140,8,4.46,25.35,46.44,9.72 kWh,11.646396134593195 kWh,19.82,16.26,1
IN-KL-ELC-68343808,06-01-2023,IN_KL_ERN,Apartment,2,2135,8,5.8,31.88,56.96,12.9 kWh,14.22 kWh,10.23,16.61,0
IN-KL-ELC-70933352,20-01-2023,IN_KL_ALP,Independent House,3,765,11,5.43,38.82,70.94,16.33 kWh,15.74 kWh,-3.61,17.83,0
IN-KL-ELC-82741791,20-01-2023,IN_KL_ERN,Independent House,3,1297,9,7.49,24.45,55.07,14.0 kWh,14.27 kWh,1.93,16.43,0
IN-KL-ELC-85209853,06-01-2023,IN_KL_ALP,Independent House,2,1630,15,5.71,32.61,46.52,15.52 kWh,15.45 kWh,-0.45,17.83,0
IN-KL-ELC-19889775,03-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,37.46,73.36,14.6 kWh,13.55 kWh,-7.19,16.61,0
IN-KL-ELC-96990855,22-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,29.6,45.72,18.6 kWh,20.22 kWh,8.71,16.26,0
IN-KL-ELC-83374719,05-01-2023,IN_KL_TVM,Apartment,4,1660,21,2.97,28.9,77.22,16.89 kWh,17.8 kWh,5.39,17.26,0
IN-KL-ELC-72643816,14-01-2023,IN_KL_ERN,Apartment,4,2744,18,6.65,24.03,68.11,17.2 kWh,16.78 kWh,-2.44,16.61,0
IN-KL-ELC-52691692,11-01-2023,IN_KL_ERN,Villa,2,1018,10,3.4,25.39,69.41,10.66 kWh,10.31 kWh,-3.28,16.28,1
IN-KL-ELC-65873763,05-01-2023,IN_KL_ERN,Apartment,3,513,9,5.83,31.97,82.73,14.44 kWh,14.41 kWh,-0.21,16.61,0
IN-KL-ELC-46908360,23-01-2023,IN_KL_TVM,Independent House,2,886,19,5.26,33.34,79.98,16.8 kWh,17.73 kWh,5.54,16.89,0
IN-KL-ELC-98200480,16-01-2023,IN_KL_ALP,Apartment,3,690,11,4.47,29.71,46.78,13.64 kWh,13.64 kWh,0,16.47,0
IN-KL-ELC-60935907,08-01-2023,IN_KL_TVM,Apartment,2,1823,20,3.54,34.16,80.29,15.99 kWh,15.61 kWh,-2.38,17.26,0
IN-KL-ELC-71807372,27-01-2023,IN_KL_ALP,Apartment,6,1129,11,5.78,27.64,61.63,17.35 kWh,19.47 kWh,12.22,16.47,0
IN-KL-ELC-84084868,18-01-2023,IN_KL_ERN,Independent House,4,1638,19,7.45,35.78,62.88,21.56 kWh,37.32067279590375 kWh,73.1,16.43,1
